     100 files     200 files     222 text files.
classified 222 filesDuplicate file check 222 files (195 known unique)Unique:      100 files                                               205 unique files.                              
Counting:  100Counting:  200      41 files ignored.

language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=0.51 s (395.3 files/s, 29050.7 lines/s)"
C/C++ Header,..\Engine\EclipseGui\include\dep_ImGuiHelper.h,5,5,33
C++,..\Engine\EclipseChat\src\ChatManager.cpp,7,3,33
C/C++ Header,..\Engine\EclipseDebugging\include\DebugSystem.h,1,3,31
C/C++ Header,..\Engine\EclipseGraphics\include\Texture.h,5,9,30
C/C++ Header,..\Engine\EclipseGui\include\ImGuiRenderer.h,4,0,29
C++,..\Engine\EclipseChat\src\ChatInterface.cpp,5,0,29
C/C++ Header,..\Engine\EclipseGui\include\dep_ImVec4.h,2,0,28
C/C++ Header,..\Engine\EclipseGui\include\dep_ImRGBA.h,2,0,28
C++,..\Engine\EclipseGui\src\dep_ImType.cpp,5,0,28
C++,..\Engine\EclipseEngine\src\EclipseTimer.cpp,3,0,28
C/C++ Header,..\Engine\EclipseGui\include\dep_ImGuiRenderer.h,3,0,28
C++,..\Engine\EclipseChat\src\ChatWriter.cpp,6,0,28
C/C++ Header,..\Engine\EclipseGui\include\ImRGBA.h,2,0,28
C/C++ Header,..\Engine\EclipseGui\include\ImVec4.h,2,0,28
C/C++ Header,..\Engine\EclipseEngine\include\Component.h,9,17,28
C/C++ Header,..\Engine\EclipseChat\include\ChatManager.h,3,2,28
C/C++ Header,..\Engine\EclipseGraphics\include\Core.h,4,3,28
C++,..\Engine\EclipseGui\src\ImType.cpp,5,0,28
C++,..\Engine\EclipseNetworking\src\NetworkHandler.cpp,7,1,27
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkHandler.h,6,0,27
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkServer.h,4,0,27
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkService.h,7,1,27
C/C++ Header,..\Engine\EclipseGui\include\dep_ImVec3.h,3,0,26
C++,..\Engine\EclipseGui\src\dep_ImGuiCall.cpp,5,0,26
C++,..\Engine\EclipseGui\src\ImGuiCall.cpp,5,0,26
C++,..\Engine\EclipseChat\src\NetworkChatMessage.cpp,4,0,26
C/C++ Header,..\Engine\EclipseGui\include\ImVec3.h,3,0,26
C/C++ Header,..\Engine\EclipseGui\include\ImVec2.h,3,0,25
C/C++ Header,..\Engine\EclipseEngine\include\EclipseTime.h,5,0,25
C/C++ Header,..\Engine\EclipseGui\include\dep_ImVec2.h,3,0,25
C/C++ Header,..\Engine\EclipseGraphics\include\MeshRenderer.h,13,7,24
C/C++ Header,..\Engine\EclipseGui\include\dep_ImType.h,4,0,24
C++,..\Engine\EclipseGui\src\dep_ImRGBA.cpp,1,0,24
C++,..\Engine\EclipseGui\src\ImRGBA.cpp,2,0,24
C/C++ Header,..\Engine\EclipseGraphics\include\GraphicsModule.h,7,6,24
C/C++ Header,..\Engine\EclipseEngine\include\Resource.h,7,13,24
C++,..\Engine\EclipseDebugging\src\DebugModule.cpp,5,1,24
C/C++ Header,..\Engine\EclipseEngine\include\EclipseSingleton.h,2,0,23
C/C++ Header,..\Engine\EclipseEngine\include\ApiLoader.h,3,1,23
C++,..\Engine\EclipseEngine\src\CoreModule.cpp,4,1,23
DOS Batch,..\Engine\update_submodules.bat,1,0,23
C++,..\Engine\EclipseGui\src\ImVec2.cpp,3,0,23
C++,..\Engine\EclipseNetworking\src\NetworkingModule.cpp,4,0,23
C++,..\Engine\EclipseGui\src\dep_ImVec2.cpp,3,0,23
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkClient.h,2,0,22
C/C++ Header,..\Engine\EclipseChat\include\ChatInterface.h,3,0,22
C/C++ Header,..\Engine\EclipseChat\include\NetworkChatInterface.h,3,0,22
C/C++ Header,..\Engine\EclipseChat\include\ChatWriter.h,4,2,21
C/C++ Header,..\Engine\EclipseDebugging\include\Core.h,6,14,21
C++,..\Engine\EclipseGui\src\ImFloat.cpp,2,0,21
C/C++ Header,..\Engine\EclipseEngine\include\typedefs.h,4,7,21
C++,..\Engine\EclipseGui\src\dep_ImVec4.cpp,3,0,21
C++,..\Engine\EclipseGui\src\ImVec4.cpp,3,0,21
C++,..\Engine\EclipseGui\src\dep_ImFloat.cpp,2,0,21
C/C++ Header,..\Engine\EclipseGui\include\ImDouble.h,1,0,20
C/C++ Header,..\Engine\EclipseGui\include\dep_ImDouble.h,1,0,20
C/C++ Header,..\Engine\EclipseGui\include\dep_ImFloat.h,1,0,20
C++,..\Engine\EclipseEngine\src\ObjectFactory.cpp,2,2,20
C/C++ Header,..\Engine\EclipseGui\include\ImFloat.h,1,0,20
C/C++ Header,..\Engine\EclipseGui\include\dep_ImInt.h,1,0,20
C++,..\Engine\EclipseGui\src\ImInt.cpp,2,0,20
C++,..\Engine\EclipseEngine\src\TimeSystem.cpp,6,4,20
C++,..\Engine\EclipseGui\src\ImVec3.cpp,3,0,20
C/C++ Header,..\Engine\EclipseGui\include\ImString.h,1,0,20
C++,..\Engine\EclipseGui\src\dep_ImInt.cpp,2,0,20
C/C++ Header,..\Engine\EclipseGui\include\dep_ImGuiCall.h,4,0,20
C++,..\Engine\EclipseGui\src\dep_ImDouble.cpp,3,0,20
C/C++ Header,..\Engine\EclipseGui\include\ImInt.h,1,0,20
C/C++ Header,..\Engine\EclipseGui\include\dep_ImString.h,1,0,20
C++,..\Engine\EclipseGui\src\dep_ImVec3.cpp,3,0,20
C++,..\Engine\EclipseGui\src\ImDouble.cpp,3,0,20
C++,..\Engine\EclipseEngine\src\TimeModule.cpp,4,0,19
C/C++ Header,..\Engine\EclipseEngine\include\EclipseTimer.h,3,0,19
C++,..\Engine\EclipseGui\src\GuiModule.cpp,5,3,19
C++,..\Engine\EclipseGui\src\dep_ImString.cpp,2,0,18
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkIdentifiers.h,2,11,18
C++,..\Engine\EclipseGui\src\ImString.cpp,3,0,18
C/C++ Header,..\Engine\EclipseGui\include\dep_ImTypes.h,1,0,17
C/C++ Header,..\Engine\EclipseEngine\include\CoreModule.h,2,3,17
C/C++ Header,..\Engine\EclipseDebugging\include\DebugModule.h,1,3,17
C/C++ Header,..\Engine\EclipseNetworking\include\INetworkHandle.h,1,0,17
C/C++ Header,..\Engine\EclipseEngine\include\TimeSystem.h,1,0,17
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkingModule.h,1,0,16
C/C++ Header,..\Engine\EclipseChat\include\NetworkChatMessage.h,3,0,16
C/C++ Header,..\Engine\EclipseEngine\include\TimeModule.h,3,0,16
C/C++ Header,..\Engine\EclipseEngine\include\CameraController.h,4,3,16
C/C++ Header,..\Engine\EclipseEngine\include\Serialization.h,2,9,16
C++,..\Engine\EclipseGraphics\src\GraphicsApi.cpp,3,0,16
C/C++ Header,..\Engine\EclipseGraphics\include\Vertex.h,1,15,16
C/C++ Header,..\Engine\EclipseGraphics\include\GraphicsApi.h,4,0,15
C/C++ Header,..\Engine\EclipseEngine\include\System.h,2,3,15
C/C++ Header,..\Engine\EclipseGui\include\GuiModule.h,1,0,15
C++,..\Engine\EclipseDebugging\src\DebugApi.cpp,1,3,15
C/C++ Header,..\Engine\EclipseChat\include\ChatMessage.h,1,0,15
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkingApi.h,1,0,14
C++,..\Engine\EclipseChat\src\ConsoleChatWriter.cpp,2,0,14
C/C++ Header,..\Engine\EclipseDebugging\include\DebugApi.h,3,6,14
C/C++ Header,..\Engine\EclipseEngine\include\API.h,1,1,13
C/C++ Header,..\Engine\EclipseChat\include\ConsoleChatWriter.h,2,0,13
C/C++ Header,..\Engine\EclipseGui\include\GuiApi.h,1,0,13
C++,..\Engine\EclipseGui\src\GuiApi.cpp,2,0,12
C++,..\Engine\EclipseChat\src\ChatMessage.cpp,2,0,12
C++,..\Engine\EclipseNetworking\src\INetworkHandle.cpp,2,0,12
DOS Batch,..\Engine\EclipseNetworking\classcreator.bat,3,0,11
C++,..\Engine\EclipseEngine\src\Resource.cpp,1,0,11
